TotalDyeingAmount_t-11,TotalPackingAmaount_t-11,YarnConsumptionPerKgGas_t-11,TotalDyeingAmount_t-10,TotalPackingAmaount_t-10,YarnConsumptionPerKgGas_t-10,TotalDyeingAmount_t-9,TotalPackingAmaount_t-9,YarnConsumptionPerKgGas_t-9,TotalDyeingAmount_t-8,TotalPackingAmaount_t-8,YarnConsumptionPerKgGas_t-8,TotalDyeingAmount_t-7,TotalPackingAmaount_t-7,YarnConsumptionPerKgGas_t-7,TotalDyeingAmount_t-6,TotalPackingAmaount_t-6,YarnConsumptionPerKgGas_t-6,TotalDyeingAmount_t-5,TotalPackingAmaount_t-5,YarnConsumptionPerKgGas_t-5,TotalDyeingAmount_t-4,TotalPackingAmaount_t-4,YarnConsumptionPerKgGas_t-4,TotalDyeingAmount_t-3,TotalPackingAmaount_t-3,YarnConsumptionPerKgGas_t-3,TotalDyeingAmount_t-2,TotalPackingAmaount_t-2,YarnConsumptionPerKgGas_t-2,TotalDyeingAmount_t-1,TotalPackingAmaount_t-1,YarnConsumptionPerKgGas_t-1,TotalDyeingAmount_t-0,TotalPackingAmaount_t-0,YarnConsumptionPerKgGas_t-0
293815.0,344962.0,0.3273980435913354,280692.0,300253.0,0.3593688150612157,281082.0,313746.0,0.4026904192676435,285078.0,318170.0,0.4407707752444735,330067.0,348789.0,0.4479356661193939,374586.0,346382.0,0.4165961180147746,302173.0,299530.0,0.4531854308137853,307262.0,324366.0,0.3919520922557799,282685.0,298591.0,0.3935557587732906,224466.0,242297.0,0.430310423189164,247029.0,265210.0,0.3903120515302206,280891.0,286121.0,0.3472697008405997
280692.0,300253.0,0.3593688150612157,281082.0,313746.0,0.4026904192676435,285078.0,318170.0,0.4407707752444735,330067.0,348789.0,0.4479356661193939,374586.0,346382.0,0.4165961180147746,302173.0,299530.0,0.4531854308137853,307262.0,324366.0,0.3919520922557799,282685.0,298591.0,0.3935557587732906,224466.0,242297.0,0.430310423189164,247029.0,265210.0,0.3903120515302206,280891.0,286121.0,0.3472697008405997,220941.0,245392.0,0.3525134964677136
281082.0,313746.0,0.4026904192676435,285078.0,318170.0,0.4407707752444735,330067.0,348789.0,0.4479356661193939,374586.0,346382.0,0.4165961180147746,302173.0,299530.0,0.4531854308137853,307262.0,324366.0,0.3919520922557799,282685.0,298591.0,0.3935557587732906,224466.0,242297.0,0.430310423189164,247029.0,265210.0,0.3903120515302206,280891.0,286121.0,0.3472697008405997,220941.0,245392.0,0.3525134964677136,270915.0,267822.0,0.327490086041768
285078.0,318170.0,0.4407707752444735,330067.0,348789.0,0.4479356661193939,374586.0,346382.0,0.4165961180147746,302173.0,299530.0,0.4531854308137853,307262.0,324366.0,0.3919520922557799,282685.0,298591.0,0.3935557587732906,224466.0,242297.0,0.430310423189164,247029.0,265210.0,0.3903120515302206,280891.0,286121.0,0.3472697008405997,220941.0,245392.0,0.3525134964677136,270915.0,267822.0,0.327490086041768,334078.0,412224.0,0.301335289177722
330067.0,348789.0,0.4479356661193939,374586.0,346382.0,0.4165961180147746,302173.0,299530.0,0.4531854308137853,307262.0,324366.0,0.3919520922557799,282685.0,298591.0,0.3935557587732906,224466.0,242297.0,0.430310423189164,247029.0,265210.0,0.3903120515302206,280891.0,286121.0,0.3472697008405997,220941.0,245392.0,0.3525134964677136,270915.0,267822.0,0.327490086041768,334078.0,412224.0,0.301335289177722,306475.0,392664.0,0.3376156476210357
374586.0,346382.0,0.4165961180147746,302173.0,299530.0,0.4531854308137853,307262.0,324366.0,0.3919520922557799,282685.0,298591.0,0.3935557587732906,224466.0,242297.0,0.430310423189164,247029.0,265210.0,0.3903120515302206,280891.0,286121.0,0.3472697008405997,220941.0,245392.0,0.3525134964677136,270915.0,267822.0,0.327490086041768,334078.0,412224.0,0.301335289177722,306475.0,392664.0,0.3376156476210357,324156.0,414277.0,0.3386477982539214
302173.0,299530.0,0.4531854308137853,307262.0,324366.0,0.3919520922557799,282685.0,298591.0,0.3935557587732906,224466.0,242297.0,0.430310423189164,247029.0,265210.0,0.3903120515302206,280891.0,286121.0,0.3472697008405997,220941.0,245392.0,0.3525134964677136,270915.0,267822.0,0.327490086041768,334078.0,412224.0,0.301335289177722,306475.0,392664.0,0.3376156476210357,324156.0,414277.0,0.3386477982539214,328011.0,395378.0,0.3465229388659431
307262.0,324366.0,0.3919520922557799,282685.0,298591.0,0.3935557587732906,224466.0,242297.0,0.430310423189164,247029.0,265210.0,0.3903120515302206,280891.0,286121.0,0.3472697008405997,220941.0,245392.0,0.3525134964677136,270915.0,267822.0,0.327490086041768,334078.0,412224.0,0.301335289177722,306475.0,392664.0,0.3376156476210357,324156.0,414277.0,0.3386477982539214,328011.0,395378.0,0.3465229388659431,288508.0,292253.0,0.3799784423014539
282685.0,298591.0,0.3935557587732906,224466.0,242297.0,0.430310423189164,247029.0,265210.0,0.3903120515302206,280891.0,286121.0,0.3472697008405997,220941.0,245392.0,0.3525134964677136,270915.0,267822.0,0.327490086041768,334078.0,412224.0,0.301335289177722,306475.0,392664.0,0.3376156476210357,324156.0,414277.0,0.3386477982539214,328011.0,395378.0,0.3465229388659431,288508.0,292253.0,0.3799784423014539,184479.0,195267.0,0.4115656884286553
224466.0,242297.0,0.430310423189164,247029.0,265210.0,0.3903120515302206,280891.0,286121.0,0.3472697008405997,220941.0,245392.0,0.3525134964677136,270915.0,267822.0,0.327490086041768,334078.0,412224.0,0.301335289177722,306475.0,392664.0,0.3376156476210357,324156.0,414277.0,0.3386477982539214,328011.0,395378.0,0.3465229388659431,288508.0,292253.0,0.3799784423014539,184479.0,195267.0,0.4115656884286553,278392.0,263150.0,0.3611823982545738
247029.0,265210.0,0.3903120515302206,280891.0,286121.0,0.3472697008405997,220941.0,245392.0,0.3525134964677136,270915.0,267822.0,0.327490086041768,334078.0,412224.0,0.301335289177722,306475.0,392664.0,0.3376156476210357,324156.0,414277.0,0.3386477982539214,328011.0,395378.0,0.3465229388659431,288508.0,292253.0,0.3799784423014539,184479.0,195267.0,0.4115656884286553,278392.0,263150.0,0.3611823982545738,306408.0,294791.0,0.3476727442674933
280891.0,286121.0,0.3472697008405997,220941.0,245392.0,0.3525134964677136,270915.0,267822.0,0.327490086041768,334078.0,412224.0,0.301335289177722,306475.0,392664.0,0.3376156476210357,324156.0,414277.0,0.3386477982539214,328011.0,395378.0,0.3465229388659431,288508.0,292253.0,0.3799784423014539,184479.0,195267.0,0.4115656884286553,278392.0,263150.0,0.3611823982545738,306408.0,294791.0,0.3476727442674933,271279.0,267289.0,0.3365132723999721
220941.0,245392.0,0.3525134964677136,270915.0,267822.0,0.327490086041768,334078.0,412224.0,0.301335289177722,306475.0,392664.0,0.3376156476210357,324156.0,414277.0,0.3386477982539214,328011.0,395378.0,0.3465229388659431,288508.0,292253.0,0.3799784423014539,184479.0,195267.0,0.4115656884286553,278392.0,263150.0,0.3611823982545738,306408.0,294791.0,0.3476727442674933,271279.0,267289.0,0.3365132723999721,297069.0,302845.0,0.3174310890865553
270915.0,267822.0,0.327490086041768,334078.0,412224.0,0.301335289177722,306475.0,392664.0,0.3376156476210357,324156.0,414277.0,0.3386477982539214,328011.0,395378.0,0.3465229388659431,288508.0,292253.0,0.3799784423014539,184479.0,195267.0,0.4115656884286553,278392.0,263150.0,0.3611823982545738,306408.0,294791.0,0.3476727442674933,271279.0,267289.0,0.3365132723999721,297069.0,302845.0,0.3174310890865553,262135.0,320003.0,0.3010699061466903
334078.0,412224.0,0.301335289177722,306475.0,392664.0,0.3376156476210357,324156.0,414277.0,0.3386477982539214,328011.0,395378.0,0.3465229388659431,288508.0,292253.0,0.3799784423014539,184479.0,195267.0,0.4115656884286553,278392.0,263150.0,0.3611823982545738,306408.0,294791.0,0.3476727442674933,271279.0,267289.0,0.3365132723999721,297069.0,302845.0,0.3174310890865553,262135.0,320003.0,0.3010699061466903,324166.0,372481.0,0.2858899590561239
