model,seed,RMSE,MAE,MAPE(%),MASE,RMSSE,mean_RMSE,mean_MAE,mean_MAPE(%),mean_MASE,mean_RMSSE,std_RMSE,std_MAE,std_MAPE(%)
Random Forest,10,2048.605545341819,1625.053451393588,8.45168378385332,0.6314225378705132,0.5711162240523984,2103.1619,1696.725,8.8312,0.6593,0.5863,74.9421,101.1559,0.4906
Random Forest,MEAN,2103.1619,1696.725,8.8312,0.6593,0.5863,2103.1619,1696.725,8.8312,0.6593,0.5863,74.9421,101.1559,0.4906
XGBoost,1,2386.1298021753846,1838.0279947916667,9.705181311391941,0.7141748476969413,0.6652122199981255,2520.4747,1869.4386,9.8955,0.7264,0.7027,150.0761,61.2555,0.3631
XGBoost,2,2724.114241666416,1941.43896484375,10.38650555060991,0.7543556904242636,0.7594365070061824,2520.4747,1869.4386,9.8955,0.7264,0.7027,150.0761,61.2555,0.3631
XGBoost,3,2550.66159360871,1880.1318359375,9.971476846405182,0.7305345029486503,0.7110808722985364,2520.4747,1869.4386,9.8955,0.7264,0.7027,150.0761,61.2555,0.3631
XGBoost,4,2676.281764040708,1865.1612955729167,9.920267404193222,0.7247176256132053,0.746101629498513,2520.4747,1869.4386,9.8955,0.7264,0.7027,150.0761,61.2555,0.3631
XGBoost,5,2317.609175007774,1739.0006510416667,9.164647975681993,0.6756972846016605,0.6461098398709945,2520.4747,1869.4386,9.8955,0.7264,0.7027,150.0761,61.2555,0.3631
XGBoost,6,2431.56666992651,1825.359375,9.598919045782349,0.7092523929596458,0.6778792424035838,2520.4747,1869.4386,9.8955,0.7264,0.7027,150.0761,61.2555,0.3631
XGBoost,7,2733.7909222635876,1951.1875,10.405454938238968,0.7581435318664024,0.7621342002232021,2520.4747,1869.4386,9.8955,0.7264,0.7027,150.0761,61.2555,0.3631
XGBoost,8,2605.2110163033594,1935.8548177083333,10.193197551760457,0.7521859424980871,0.7262883193272949,2520.4747,1869.4386,9.8955,0.7264,0.7027,150.0761,61.2555,0.3631
XGBoost,9,2437.502211126841,1880.9607747395833,9.958301699380339,0.730856591210856,0.6795339698769857,2520.4747,1869.4386,9.8955,0.7264,0.7027,150.0761,61.2555,0.3631
XGBoost,10,2341.87965977652,1837.2630208333333,9.650561102154791,0.713877613290429,0.6528760363447694,2520.4747,1869.4386,9.8955,0.7264,0.7027,150.0761,61.2555,0.3631
XGBoost,MEAN,2520.4747,1869.4386,9.8955,0.7264,0.7027,2520.4747,1869.4386,9.8955,0.7264,0.7027,150.0761,61.2555,0.3631
